Epoch 1: lr=0.0001, PPL=786.3809944103496
Epoch 2: lr=0.0001, PPL=790.9079212341546
Epoch 3: lr=0.0001, PPL=790.0402728862625
Epoch 4: lr=0.0001, PPL=778.2434344533939
Epoch 5: lr=0.0001, PPL=741.5593023806473
Epoch 6: lr=0.0001, PPL=705.902855747616
Epoch 7: lr=0.0001, PPL=647.8441835743555
Epoch 8: lr=0.0001, PPL=589.9176998353952
Epoch 9: lr=0.0001, PPL=539.2766778556011
Epoch 10: lr=0.0001, PPL=495.18448937442827
Epoch 11: lr=0.0001, PPL=454.368098673073
Epoch 12: lr=0.0001, PPL=417.2999004064982
Epoch 13: lr=0.0001, PPL=384.41289347609126
Epoch 14: lr=0.0001, PPL=357.55287918541234
Epoch 15: lr=0.0001, PPL=332.3647711998941
Epoch 16: lr=0.0001, PPL=311.69067527849364
Epoch 17: lr=0.0001, PPL=295.8883521906538
Epoch 18: lr=0.0001, PPL=281.0142589827731
Epoch 19: lr=0.0001, PPL=268.92661607449423
Epoch 20: lr=0.0001, PPL=258.20090695537937
Epoch 21: lr=0.0001, PPL=248.97375179945215
Epoch 22: lr=0.0001, PPL=240.4079104105654
Epoch 23: lr=0.0001, PPL=234.05387703306982
Epoch 24: lr=0.0001, PPL=227.45000647393687
Epoch 25: lr=0.0001, PPL=221.1588356742187
Epoch 26: lr=0.0001, PPL=216.31295895812298
Epoch 27: lr=0.0001, PPL=210.9885483897308
Epoch 28: lr=0.0001, PPL=206.7797250043373
Epoch 29: lr=0.0001, PPL=202.72980141378758
Epoch 30: lr=0.0001, PPL=199.44711376205453
Epoch 1: lr=0.0007, PPL=698.2220254179083
Epoch 2: lr=0.0007, PPL=402.05488705908755
Epoch 3: lr=0.0007, PPL=257.3041156882033
Epoch 4: lr=0.0007, PPL=205.5792699355443
Epoch 5: lr=0.0007, PPL=182.77064582939113
Epoch 6: lr=0.0007, PPL=165.8449271671729
Epoch 7: lr=0.0007, PPL=156.89316704861832
Epoch 8: lr=0.0007, PPL=150.74877025231248
Epoch 9: lr=0.0007, PPL=146.12190911549206
Epoch 10: lr=0.0007, PPL=143.52936246688344
Epoch 11: lr=0.0007, PPL=141.15160557737715
Epoch 12: lr=0.0007, PPL=140.33595448479832
Epoch 13: lr=0.0007, PPL=139.17591744016354
Epoch 14: lr=0.0007, PPL=139.6141983328649
Epoch 15: lr=0.0007, PPL=139.539673697194
Epoch 16: lr=0.0007, PPL=140.66958802109727
Epoch 1: lr=0.001, PPL=561.1505774359333
Epoch 2: lr=0.001, PPL=285.5914969017742
Epoch 3: lr=0.001, PPL=202.84973624948015
Epoch 4: lr=0.001, PPL=175.2923067387758
Epoch 5: lr=0.001, PPL=159.2061122231498
Epoch 6: lr=0.001, PPL=149.51829921628476
Epoch 7: lr=0.001, PPL=145.34120203257467
Epoch 8: lr=0.001, PPL=142.76704168872047
Epoch 9: lr=0.001, PPL=141.44944680261713
Epoch 10: lr=0.001, PPL=141.2419474355063
Epoch 11: lr=0.001, PPL=142.2165581350731
Epoch 12: lr=0.001, PPL=144.70954933816134
Epoch 13: lr=0.001, PPL=145.80743236590183
Epoch 1: lr=0.1, PPL=1.171836840185639e+39
Epoch 2: lr=0.1, PPL=7.530300275035104e+58
Epoch 3: lr=0.1, PPL=6.780325820037846e+55
Epoch 4: lr=0.1, PPL=1.5848269700627725e+54
Epoch 1: lr=0.3, PPL=1.816468508037225e+43
Epoch 2: lr=0.3, PPL=7.00928027681956e+42
Epoch 3: lr=0.3, PPL=6.851804258551485e+41
Epoch 4: lr=0.3, PPL=3.7579444132692513e+42
Epoch 5: lr=0.3, PPL=1.8848092902689463e+45
Epoch 6: lr=0.3, PPL=3.6418870136167924e+39
Epoch 7: lr=0.3, PPL=2.923441921627591e+40
Epoch 8: lr=0.3, PPL=8.594260049960057e+40
Epoch 9: lr=0.3, PPL=2.3229463793981865e+41
Epoch 1: lr=0.7, PPL=1.3002561224685424e+104
Epoch 2: lr=0.7, PPL=2.1678349735594437e+108
Epoch 3: lr=0.7, PPL=1.5227922365578733e+113
Epoch 4: lr=0.7, PPL=8.19542904151857e+109
Epoch 1: lr=1, PPL=9.045779005241965e+183
Epoch 2: lr=1, PPL=2.992832849116655e+181
Epoch 3: lr=1, PPL=4.466532628119299e+189
Epoch 4: lr=1, PPL=7.480746262844012e+176
Epoch 5: lr=1, PPL=1.432737708705951e+183
Epoch 6: lr=1, PPL=4.732277480015444e+183
Epoch 7: lr=1, PPL=3.491078211884556e+173
Epoch 8: lr=1, PPL=8.98507473812947e+161
Epoch 9: lr=1, PPL=5.522231837531735e+158
Epoch 10: lr=1, PPL=1.557256058400348e+150
Epoch 11: lr=1, PPL=4.008359633284966e+161
Epoch 12: lr=1, PPL=6.069416635851685e+175
Epoch 13: lr=1, PPL=5.837331202129582e+156
Epoch 1: lr=1.5, PPL=6.005912373578374e+261
Epoch 2: lr=1.5, PPL=2.6751616352862254e+296
Epoch 3: lr=1.5, PPL=2.1409279416566176e+273
Epoch 4: lr=1.5, PPL=1.5853908791097028e+282
Best PPL: 131.06004931082185 with lr=0.0007
